,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
5837, 1FTFW1R63CFA16054,Ford,['F-150'],SVT Raptor SuperCrew 5.5' Box 4WD,2012,"80,869", 11,16, Automatic, 4WD,Gas,Silver,Black,0,1, Personal use,"Bensenville, IL","31,543"
5838, SADCM2FV0JA256445,Jaguar,['F-PACE'],S,2018,"79,979", 18,23, Automatic, AWD,Supercharged,Black,Unknown,0,2, Personal use,"Downers Grove, IL","33,444"
5839, 1C4HJXEN2LW240181,Jeep,['Wrangler'],Unlimited Sahara,2020,"50,659", 17,23, Automatic, 4WD,Gas,Silver,Black,0,1, Personal use,"Midland, TX","37,989"
5840, 1FTEW1E50KFB49149,Ford,['F-150'],Lariat SuperCrew 5.5' Box 4WD,2019,"65,341", 19,24, Automatic, 4WD,Gas,Black,Black,0,2, Fleet use,"Oklahoma City, OK","40,887"
5841, 1C4HJXDG6JW173701,Jeep,['Wrangler'],Unlimited Sport S (JL),2018,"33,007", 17,23, Automatic, 4WD,Gas,Black,Black,0,2, Fleet use,"Fort Worth, TX","34,990"
5842, JTDEPRAE0LJ061282,Toyota,['Corolla'],LE CVT,2020,"93,986", 30,38, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"San Jose, CA","20,590"
5843, 2C4RDGCG7ER152934,Dodge,"['Grand', 'Caravan']",SXT,2014,"122,921", 17,25, Automatic, FWD,Gas,Silver,Black,0,2, Personal use,"Edmonds, WA","7,995"
5844, 1GNSKBKC6LR276826,Chevrolet,['Tahoe'],LT 4WD,2020,"61,259", 15,21, Automatic, 4WD,Gas,Gray,Black,0,2, Personal use,"DeSoto, TX","42,902"
5845, W1N0G8EB9MV308984,Mercedes-Benz,['GLC'],GLC 300 SUV 4MATIC,2021,"8,566", 21,28, Automatic, AWD,Gas,Black,Black,0,0, Personal use,"Henderson, NV","44,992"
5846, JF1ZNAA19F9708358,Scion,['FR-S'],Base Manual,2015,"108,455", 22,30, Manual, RWD,Gas,White,Unknown,0,2, Fleet use,"Nashville, TN","16,998"
5847, JTDEPRAE3LJ014540,Toyota,['Corolla'],LE CVT,2020,"99,225", 30,38, Automatic, FWD,Gas,White,Unknown,0,1, Personal use,"Jacksonville, FL","19,500"
5848, 1C4NJPBA5ED928100,Jeep,['Patriot'],Altitude FWD,2014,"112,793", 22,27, Automatic, FWD,Gas,Black,Gray,0,3, Fleet use,"Pensacola, FL","10,865"
5849, 4T1BF1FK2HU622623,Toyota,['Camry'],SE I4 Automatic,2017,"21,627", 24,33, Automatic, FWD,Gas,Gray,Gray,0,1, Personal use,"Fort Worth, TX","21,990"
5850, 4T1B11HKXKU239936,Toyota,['Camry'],LE Automatic,2019,"95,424", 28,39, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Tampa, FL","20,398"
5851, 1FT8W3B63KEC00252,Ford,"['Super', 'Duty', 'F-350']",XL 4WD Crew Cab 6.75' Box SRW,2019,"35,010",n/a,n/a, Automatic, 4WD,Gas,White,Unknown,0,2, Personal use,"Albuquerque, NM","48,877"
5852, WDBSK75F03F032150,Mercedes-Benz,['SL'],SL 500,2003,"111,040", 15,22, Automatic, RWD,Gas,Gold,Unknown,0,3, Personal use,"Tucson, AZ","7,990"
5853, 1FT8W3B63KEC00252,Ford,"['Super', 'Duty', 'F-350']",XL 4WD Crew Cab 6.75' Box SRW,2019,"35,010",n/a,n/a, Automatic, 4WD,Gas,White,Unknown,0,2, Personal use,"Albuquerque, NM","48,877"
5854, 1C4HJWEG5GL160733,Jeep,['Wrangler'],Unlimited Sahara,2016,"101,835", 16,21, Automatic, 4WD,Gas,Black,Black,0,2, Personal use,"Roseville, CA","29,498"
5855, 1FTFW1RG5KFA81124,Ford,['F-150'],Raptor SuperCrew 5.5' Box 4WD,2019,"94,773", 15,18, Automatic, 4WD,Gas,White,Black,0,2, Personal use,"Mesa, AZ","55,499"
5856, 5N1AT2MV3JC773523,Nissan,['Rogue'],SV AWD,2018,"72,798", 25,32, Automatic, AWD,Gas,White,Beige,0,1, Personal use,"Spring, TX","20,745"
5857, 3FA6P0H71GR326493,Ford,['Fusion'],SE FWD,2016,"93,968", 22,34, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Norwalk, OH","14,475"
5858, 1N4BL4BV3LC225022,Nissan,['Altima'],2.5 S FWD,2020,"50,922", 28,39, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Fort Myers, FL","21,229"
5859, KNDJN2A28K7657043,Kia,['Soul'],Base Automatic,2019,"44,298", 26,31, Automatic, FWD,Gas,Gray,Black,0,1, Personal use,"Merced, CA","16,966"
5860, 1GNERGKW4MJ166258,Chevrolet,['Traverse'],LT Cloth with 1LT FWD,2021,"45,238", 18,27, Automatic, FWD,Gas,White,Gray,0,1, Personal use,"Live Oak, TX","36,658"
5861, 1G1ZD5ST8LF086040,Chevrolet,['Malibu'],LT,2020,"45,880", 29,36, Automatic, FWD,Gas,White,Black,0,1, Fleet use,"Dallas, TX","22,990"
5862, 1FMJU1KT9LEA20501,Ford,['Expedition'],Limited RWD,2020,"63,779",n/a,n/a,n/a,n/a,n/a,Black,Black,0,1, Personal use,"Columbus, TX","46,491"
5863, 4S4BSAFCXK3364997,Subaru,['Outback'],2.5i Premium,2019,"84,178", 25,32, Automatic, AWD,Gas,Silver,Gray,0,1, Fleet use,"Morristown, TN","24,702"
5864, 2HGFC2F64LH583893,Honda,['Civic'],LX Sedan CVT,2020,"7,105", 30,38, Automatic, FWD,Gas,Red,Black,1,2, Personal use,"Boise, ID","22,000"
5865, 3C4PDCAB0JT497298,Dodge,['Journey'],SE FWD,2018,"48,115", 19,25, Automatic, FWD,Gas,Blue,Black,0,1, Personal use,"West Palm Beach, FL","17,498"
5866, 1GCRCSEC2JZ318339,Chevrolet,"['Silverado', '1500']",LTZ Double Cab Standard Box 2WD,2018,"33,593", 16,23, Automatic, RWD,Gas,White,Black,0,2, Personal use,"Montclair, CA","32,810"
5867, 1C6RR6LT0KS525869,Ram,"['1500', 'Classic']","Lone Star Crew Cab 5'7"" Box 2WD",2019,"60,058", 15,22, Automatic, RWD,Gas,Black,Black,0,1, Personal use,"Georgetown, TX","30,190"
5868, 4S4BSANC9K3262110,Subaru,['Outback'],2.5i Limited,2019,"37,700", 25,32, Automatic, AWD,Gas,White,Gray,0,2, Personal use,"Medford, OR","29,997"
5869, 1VWBH7A32DC061211,Volkswagen,['Passat'],SE Sedan 2.5 Auto,2013,"110,378", 22,31, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Prosper, TX","9,990"
